iter	Passed	Remaining
489	600	625
490	601	623
491	602	622
492	603	620
493	604	619
494	605	617
495	606	616
496	607	614
497	608	613
498	609	611
499	610	610
500	611	609
501	613	608
502	614	606
503	614	605
504	615	603
505	616	602
506	617	600
507	619	599
508	620	598
509	621	597
510	623	596
511	625	596
512	626	594
513	627	593
514	628	592
515	629	590
516	631	589
517	632	588
518	633	587
519	634	585
520	635	583
521	636	582
522	637	581
523	638	580
524	653	591
525	655	590
526	658	591
527	659	589
528	660	588
529	661	586
530	662	584
531	662	583
532	663	581
533	664	579
534	665	578
535	667	577
536	669	577
537	670	575
538	671	574
539	672	573
540	673	571
541	674	570
542	676	568
543	677	567
544	678	566
545	679	564
546	679	563
547	680	561
548	681	560
549	683	559
550	685	558
551	686	557
552	687	555
553	689	555
554	690	553
555	691	552
556	692	550
557	693	549
558	693	547
559	694	545
560	695	543
561	695	542
562	696	540
563	697	539
564	698	537
565	699	536
566	700	534
567	700	533
568	701	531
569	702	529
570	703	528
571	703	526
572	704	524
573	704	523
574	705	521
575	706	519
576	706	518
577	707	516
578	708	514
579	708	513
580	709	511
581	710	510
582	711	508
583	712	507
584	713	505
585	713	504
586	714	502
587	715	501
588	715	499
589	716	497
590	716	496
591	717	494
592	718	492
593	718	491
594	719	489
595	720	488
596	721	486
597	722	485
598	722	483
599	723	482
600	724	480
601	725	479
602	726	478
603	727	476
604	728	475
605	729	474
606	730	472
607	731	471
608	732	470
609	732	468
610	733	467
611	734	465
612	735	464
613	735	462
614	736	461
615	737	459
616	737	457
617	738	456
618	739	455
619	740	453
620	741	452
621	741	450
622	742	449
623	743	447
624	743	446
625	744	444
626	745	443
627	746	441
628	747	440
629	747	439
630	748	437
631	749	436
632	750	435
633	751	433
634	752	432
635	753	431
636	754	429
637	754	428
638	755	426
639	756	425
640	757	424
641	757	422
642	759	421
643	759	420
644	760	418
645	761	417
646	762	415
647	763	414
648	763	413
649	764	411
650	765	410
651	766	408
652	767	407
653	768	406
654	769	405
655	770	404
656	771	402
657	772	401
658	773	400
659	774	398
660	774	397
661	775	396
662	776	394
663	777	393
664	778	392
665	778	390
666	779	389
667	780	387
668	781	386
669	782	385
670	783	384
671	784	382
672	785	381
673	786	380
674	787	379
675	788	377
676	788	376
677	789	375
678	790	373
679	791	372
680	791	370
681	792	369
682	793	368
683	795	367
684	796	366
685	797	365
686	798	363
687	799	362
688	800	361
689	801	360
690	802	358
691	803	357
692	804	356
693	805	355
694	807	354
695	809	353
696	810	352
697	811	351
698	812	350
699	813	348
700	814	347
701	815	346
702	815	344
703	816	343
704	817	342
705	818	340
706	819	339
707	819	338
708	820	336
709	821	335
710	822	334
711	823	332
712	823	331
713	824	330
714	825	328
715	826	327
716	827	326
717	827	325
718	828	323
719	829	322
720	830	321
721	830	319
722	831	318
723	831	317
724	832	315
725	833	314
726	833	313
727	834	311
728	834	310
729	835	308
730	836	307
731	837	306
732	839	305
733	840	304
734	840	303
735	841	301
736	842	300
737	843	299
738	844	298
739	844	296
740	845	295
741	846	294
742	846	292
743	847	291
744	847	290
745	848	288
746	849	287
747	849	286
748	850	284
749	850	283
750	852	282
751	853	281
752	854	280
753	855	279
754	856	277
755	856	276
756	857	275
757	858	274
758	859	272
759	859	271
760	860	270
761	861	268
762	861	267
763	862	266
764	862	265
765	863	263
766	864	262
767	864	261
768	865	259
769	866	258
770	867	257
771	868	256
772	869	255
773	870	254
774	871	252
775	872	251
776	872	250
777	873	249
778	874	247
779	874	246
780	875	245
781	876	244
782	876	242
783	877	241
784	878	240
785	880	239
786	881	238
787	882	237
788	882	236
789	883	234
790	884	233
791	889	233
792	890	232
793	891	231
794	892	230
795	894	229
796	897	228
797	898	227
798	900	226
799	904	226
800	905	225
801	906	223
802	910	223
803	912	222
804	913	221
805	914	220
806	915	219
807	919	218
808	920	217
809	921	216
810	926	215
811	927	214
812	928	213
813	930	212
814	932	211
815	933	210
816	935	209
817	936	208
818	937	207
819	938	206
820	941	205
821	942	204
822	943	202
823	944	201
824	945	200
825	946	199
826	947	198
827	948	197
828	950	195
829	951	194
830	952	193
831	957	193
832	958	192
833	959	191
834	961	189
835	962	188
836	963	187
837	964	186
838	965	185
839	968	184
840	970	183
841	971	182
842	972	181
843	973	179
844	974	178
845	975	177
846	976	176
847	977	175
848	977	173
849	978	172
850	979	171
851	980	170
852	981	169
853	982	168
854	984	166
855	985	165
856	985	164
857	986	163
858	987	162
859	988	160
860	989	159
861	991	158
862	992	157
863	993	156
864	994	155
865	997	154
866	999	153
867	1004	152
868	1008	151
869	1015	151
870	1018	150
871	1020	149
872	1022	148
873	1024	147
874	1027	146
875	1030	145
876	1032	144
877	1033	143
878	1034	142
879	1035	141
880	1037	140
881	1038	138
882	1039	137
883	1040	136
884	1042	135
885	1044	134
886	1045	133
887	1046	131
888	1047	130
889	1049	129
890	1050	128
891	1051	127
892	1052	126
893	1053	124
894	1053	123
895	1054	122
896	1055	121
897	1057	120
898	1058	118
899	1059	117
900	1060	116
901	1061	115
902	1063	114
903	1064	113
904	1065	111
905	1066	110
906	1067	109
907	1068	108
908	1069	107
909	1069	105
910	1073	104
911	1074	103
912	1075	102
913	1076	101
914	1077	100
915	1078	98
916	1079	97
917	1080	96
918	1080	95
919	1081	94
920	1082	92
921	1082	91
922	1083	90
923	1083	89
924	1084	87
925	1086	86
926	1087	85
927	1088	84
928	1089	83
929	1090	82
930	1090	80
931	1091	79
932	1092	78
933	1093	77
934	1093	76
935	1094	74
936	1095	73
937	1095	72
938	1096	71
939	1096	70
940	1097	68
941	1098	67
942	1098	66
943	1099	65
944	1100	64
945	1101	62
946	1102	61
947	1103	60
948	1104	59
949	1104	58
950	1105	56
951	1106	55
952	1107	54
953	1107	53
954	1108	52
955	1109	51
956	1109	49
957	1110	48
958	1111	47
959	1111	46
960	1112	45
961	1112	43
962	1114	42
963	1115	41
964	1116	40
965	1117	39
966	1117	38
967	1118	36
968	1119	35
969	1120	34
970	1120	33
971	1121	32
972	1122	31
973	1123	29
974	1123	28
975	1124	27
976	1125	26
977	1125	25
978	1126	24
979	1126	22
980	1127	21
981	1129	20
982	1132	19
983	1133	18
984	1135	17
985	1136	16
986	1136	14
987	1137	13
988	1138	12
989	1139	11
990	1139	10
991	1140	9
992	1141	8
993	1141	6
994	1144	5
995	1145	4
996	1146	3
997	1147	2
998	1148	1
999	1149	0
